Entry	Gene names	Gene names  (synonym )	Protein names	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Entry name	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
J9VHQ6	CNAG_00011		Uncharacterized protein		CNAG_00011		J9VHQ6_CRYNH	tryptophan catabolic process to kynurenine [GO:0019441]		arylformamidase activity [GO:0004061]; tryptophan catabolic process to kynurenine [GO:0019441]	arylformamidase activity [GO:0004061]	GO:0004061; GO:0019441
J9VP01	CNAG_05892		Phosphoglycerate mutase		CNAG_05892		J9VP01_CRYNH					
J9VJH8	CNAG_04076		Uncharacterized protein		CNAG_04076		J9VJH8_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VHW3	CNAG_00072		Protein disulfide-isomerase		CNAG_00072		J9VHW3_CRYNH		endoplasmic reticulum [GO:0005783]	endoplasmic reticulum [GO:0005783]; protein disulfide isomerase activity [GO:0003756]	protein disulfide isomerase activity [GO:0003756]	GO:0003756; GO:0005783
J9VTT9	CNAG_04101		Uncharacterized protein		CNAG_04101		J9VTT9_CRYNH					
J9VQL7	CNAG_03332		Replication factor C subunit 2/4		CNAG_03332		J9VQL7_CRYNH	DNA replication [GO:0006260]		ATP binding [GO:0005524]; ATPase activity [GO:0016887]; DNA binding [GO:0003677]; DNA replication [GO:0006260]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; DNA binding [GO:0003677]	GO:0003677; GO:0005524; GO:0006260; GO:0016887
J9VVQ5	CNAG_03474		Efflux protein EncT		CNAG_03474		J9VVQ5_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VJ72	CNAG_07365		Oxidoreductase		CNAG_07365		J9VJ72_CRYNH			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
J9VVX0	CNAG_03544		Uncharacterized protein		CNAG_03544		J9VVX0_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VTB8	CNAG_06578		Uncharacterized protein		CNAG_06578		J9VTB8_CRYNH					
T2BMN6	CNAG_07651		DEAD-box ATP-dependent RNA helicase 26, variant		CNAG_07651		T2BMN6_CRYNH			ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004386; GO:0005524; GO:0016787
J9VSK5	CNAG_01438		Transcription factor		CNAG_01438		J9VSK5_CRYNH			DNA binding [GO:0003677]	DNA binding [GO:0003677]	GO:0003677
J9VPY0	CNAG_03296		Tyrosine specific protein phosphatase		CNAG_03296		J9VPY0_CRYNH			protein tyrosine phosphatase activity [GO:0004725]	protein tyrosine phosphatase activity [GO:0004725]	GO:0004725
J9VQA1	CNAG_03433		Alpha-galactosidase (EC 3.2.1.22)		CNAG_03433		J9VQA1_CRYNH			raffinose alpha-galactosidase activity [GO:0052692]	raffinose alpha-galactosidase activity [GO:0052692]	GO:0052692
J9VR32	CNAG_06919		Histone-glutamine methyltransferase (rRNA 2'-O-methyltransferase fibrillarin)		CNAG_06919		J9VR32_CRYNH	methylation [GO:0032259]; rRNA processing [GO:0006364]	nucleus [GO:0005634]	nucleus [GO:0005634]; methyltransferase activity [GO:0008168]; RNA binding [GO:0003723]; methylation [GO:0032259]; rRNA processing [GO:0006364]	methyltransferase activity [GO:0008168]; RNA binding [GO:0003723]	GO:0003723; GO:0005634; GO:0006364; GO:0008168; GO:0032259
J9W3T2	CNAG_05442		TATA-box-binding protein		CNAG_05442		J9W3T2_CRYNH	DNA-templated transcription, initiation [GO:0006352]	nucleus [GO:0005634]	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-templated transcription, initiation [GO:0006352]	DNA binding [GO:0003677]	GO:0003677; GO:0005634; GO:0006352
J9W108	CNAG_06421		Acetohydroxy-acid synthase small subunit		CNAG_06421		J9W108_CRYNH	isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]		acetolactate synthase regulator activity [GO:1990610]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	acetolactate synthase regulator activity [GO:1990610]	GO:0009097; GO:0009099; GO:1990610
J9VS49	CNAG_04916		Zn(2)-C6 fungal-type domain-containing protein		CNAG_04916		J9VS49_CRYNH			DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	GO:0000981; GO:0008270
J9VN63	CNAG_07530		Uncharacterized protein		CNAG_07530		J9VN63_CRYNH					
J9VW43	CNAG_04113		TYR_PHOSPHATASE_2 domain-containing protein		CNAG_04113		J9VW43_CRYNH			phosphatase activity [GO:0016791]	phosphatase activity [GO:0016791]	GO:0016791
J9VWP5	CNAG_04293		Vacuolar protein sorting-associated protein 41		CNAG_04293		J9VWP5_CRYNH	endosomal vesicle fusion [GO:0034058]; intracellular protein transport [GO:0006886]; vacuolar transport [GO:0007034]	fungal-type vacuole membrane [GO:0000329]; HOPS complex [GO:0030897]; late endosome [GO:0005770]	fungal-type vacuole membrane [GO:0000329]; HOPS complex [GO:0030897]; late endosome [GO:0005770]; endosomal vesicle fusion [GO:0034058]; intracellular protein transport [GO:0006886]; vacuolar transport [GO:0007034]		GO:0000329; GO:0005770; GO:0006886; GO:0007034; GO:0030897; GO:0034058
J9VQE7	CNAG_01298		Lysophospholipase NTE1 (EC 3.1.1.5) (Intracellular phospholipase B)		CNAG_01298		J9VQE7_CRYNH	lipid catabolic process [GO:0016042]; phosphatidylcholine metabolic process [GO:0046470]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; lysophospholipase activity [GO:0004622]; phosphatidyl phospholipase B activity [GO:0102545]; lipid catabolic process [GO:0016042]; phosphatidylcholine metabolic process [GO:0046470]	lysophospholipase activity [GO:0004622]; phosphatidyl phospholipase B activity [GO:0102545]	GO:0004622; GO:0005789; GO:0016021; GO:0016042; GO:0046470; GO:0102545
J9VXQ9	CNAG_05623		Chorismate synthase (EC 4.2.3.5)		CNAG_05623		J9VXQ9_CRYNH	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]		chorismate synthase activity [GO:0004107]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	chorismate synthase activity [GO:0004107]	GO:0004107; GO:0008652; GO:0009073; GO:0009423
J9W2Y7	CNAG_06276		Zn(2)-C6 fungal-type domain-containing protein		CNAG_06276		J9W2Y7_CRYNH	transcription, DNA-templated [GO:0006351]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	GO:0000981; GO:0003677; GO:0006351; GO:0008270; GO:0016021
J9VMS3	CNAG_02037		Large subunit ribosomal protein L22		CNAG_02037		J9VMS3_CRYNH	translation [GO:0006412]	large ribosomal subunit [GO:0015934]	large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0015934
J9VT93	CNAG_01470		NADH dehydrogenase (Ubiquinone) flavoprotein 2		CNAG_01470		J9VT93_CRYNH			2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	GO:0016491; GO:0046872; GO:0051537
J9VW63	CNAG_06630		Mitochondrial import inner membrane translocase subunit TIM44		CNAG_06630		J9VW63_CRYNH	protein import into mitochondrial matrix [GO:0030150]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; chaperone binding [GO:0051087]; protein import into mitochondrial matrix [GO:0030150]	chaperone binding [GO:0051087]	GO:0005743; GO:0030150; GO:0051087
J9VQQ0	CNAG_07749		3-ketodihydrosphingosine reductase TSC10		CNAG_07749		J9VQQ0_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016021; GO:0016491
J9VPU7	CNAG_06838		RNA helicase (EC 3.6.4.13)		CNAG_06838		J9VPU7_CRYNH			ATP binding [GO:0005524]; hydrolase activity, acting on acid anhydrides [GO:0016817]; RNA helicase activity [GO:0003724]	ATP binding [GO:0005524]; hydrolase activity, acting on acid anhydrides [GO:0016817]; RNA helicase activity [GO:0003724]	GO:0003724; GO:0005524; GO:0016817
J9VW50	CNAG_06240		Protein disulfide-isomerase (EC 5.3.4.1)		CNAG_06240		J9VW50_CRYNH		endoplasmic reticulum lumen [GO:0005788]	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	protein disulfide isomerase activity [GO:0003756]	GO:0003756; GO:0005788
J9VNU8	CNAG_01041		Uncharacterized protein		CNAG_01041		J9VNU8_CRYNH					
J9VEP0	CNAG_00373		Glucan 1,3-beta-glucosidase		CNAG_00373		J9VEP0_CRYNH	organic substance metabolic process [GO:0071704]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; organic substance metabolic process [GO:0071704]	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	GO:0004553; GO:0016021; GO:0071704
J9VW18	CNAG_04604		Tryptophanyl-tRNA synthetase (EC 6.1.1.2)		CNAG_04604		J9VW18_CRYNH	tryptophanyl-tRNA aminoacylation [GO:0006436]		ATP binding [GO:0005524]; tryptophan-tRNA ligase activity [GO:0004830]; tryptophanyl-tRNA aminoacylation [GO:0006436]	ATP binding [GO:0005524]; tryptophan-tRNA ligase activity [GO:0004830]	GO:0004830; GO:0005524; GO:0006436
J9VXG2	CNAG_05503		LIM domain-containing protein		CNAG_05503		J9VXG2_CRYNH			metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0046872
J9VNL3	CNAG_07481		Uncharacterized protein		CNAG_07481		J9VNL3_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; magnesium ion transmembrane transporter activity [GO:0015095]	magnesium ion transmembrane transporter activity [GO:0015095]	GO:0015095; GO:0016021
T2BP67	CNAG_05771		Serine/threonine-protein kinase Tel1 (EC 2.7.11.1)		CNAG_05771		T2BP67_CRYNH	DNA damage checkpoint [GO:0000077]; DNA repair [GO:0006281]; histone phosphorylation [GO:0016572]; telomere maintenance [GO:0000723]	chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]	chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; DNA damage checkpoint [GO:0000077]; DNA repair [GO:0006281]; histone phosphorylation [GO:0016572]; telomere maintenance [GO:0000723]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	GO:0000077; GO:0000723; GO:0000781; GO:0005524; GO:0005634; GO:0006281; GO:0016572; GO:0106310; GO:0106311
J9VDT0	CNAG_00055		BZIP domain-containing protein		CNAG_00055		J9VDT0_CRYNH			DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]	GO:0003700
J9VX56	CNAG_05415		Uncharacterized protein		CNAG_05415		J9VX56_CRYNH					
J9VZW6	CNAG_05996		Solute carrier family 32 (Vesicular inhibitory amino acid transporter)		CNAG_05996		J9VZW6_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
T2BMC1	CNAG_01244		Uncharacterized protein		CNAG_01244		T2BMC1_CRYNH					
J9W3A2	CNAG_06427		Uncharacterized protein		CNAG_06427		J9W3A2_CRYNH					
J9VU86	CNAG_01806		Uncharacterized protein		CNAG_01806		J9VU86_CRYNH					
J9VQB5	CNAG_02209		Nucleolar protein 56		CNAG_02209		J9VQB5_CRYNH	ribosome biogenesis [GO:0042254]	nucleolus [GO:0005730]	nucleolus [GO:0005730]; ribosome biogenesis [GO:0042254]		GO:0005730; GO:0042254
J9VVT7	CNAG_06535		Ribosome biogenesis protein UTP30		CNAG_06535		J9VVT7_CRYNH			proteasome binding [GO:0070628]	proteasome binding [GO:0070628]	GO:0070628
J9VLW3	CNAG_07453		Uncharacterized protein		CNAG_07453		J9VLW3_CRYNH	mRNA export from nucleus [GO:0006406]		mRNA export from nucleus [GO:0006406]		GO:0006406
T2BPV8	CNAG_01827		VHS domain-containing protein		CNAG_01827		T2BPV8_CRYNH	intracellular protein transport [GO:0006886]		RNA binding [GO:0003723]; intracellular protein transport [GO:0006886]	RNA binding [GO:0003723]	GO:0003723; GO:0006886
J9VZS4	CNAG_07781		ATP-dependent bile acid transporter		CNAG_07781		J9VZS4_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0016021; GO:0042626
J9VFX9	CNAG_03771		DNA binding protein Ncp1		CNAG_03771		J9VFX9_CRYNH					
J9W0T3	CNAG_06331		Zn(2)-C6 fungal-type domain-containing protein		CNAG_06331		J9W0T3_CRYNH	transcription, DNA-templated [GO:0006351]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	GO:0000981; GO:0003677; GO:0006351; GO:0008270; GO:0016021
J9VS89	CNAG_05308		Beta-catenin-like protein 1		CNAG_05308		J9VS89_CRYNH					
J9VR26	CNAG_01082		ANK_REP_REGION domain-containing protein		CNAG_01082		J9VR26_CRYNH					
J9VJS7	CNAG_01425		Uncharacterized protein		CNAG_01425		J9VJS7_CRYNH					
J9W005	CNAG_05616		ABC transporter		CNAG_05616		J9W005_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0016021; GO:0042626
J9VGY2	CNAG_03025		V-type H-transporting ATPase subunit D		CNAG_03025		J9VGY2_CRYNH	ion transport [GO:0006811]		ATPase-coupled transmembrane transporter activity [GO:0042626]; ion transport [GO:0006811]	ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0006811; GO:0042626
J9W2U9	CNAG_06227		Fanconi-associated nuclease (EC 3.1.4.1)		CNAG_06227		J9W2U9_CRYNH	interstrand cross-link repair [GO:0036297]	nucleus [GO:0005634]	nucleus [GO:0005634]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; phosphodiesterase I activity [GO:0004528]; interstrand cross-link repair [GO:0036297]	metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; phosphodiesterase I activity [GO:0004528]	GO:0003676; GO:0004528; GO:0005634; GO:0036297; GO:0046872
J9VWZ5	CNAG_05545		Bis(5'-adenosyl)-triphosphatase		CNAG_05545		J9VWZ5_CRYNH			catalytic activity [GO:0003824]; nucleotide binding [GO:0000166]	catalytic activity [GO:0003824]; nucleotide binding [GO:0000166]	GO:0000166; GO:0003824
T2BNR9	CNAG_07940		BZIP domain-containing protein		CNAG_07940		T2BNR9_CRYNH			DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]	GO:0003700
J9VJB8	CNAG_04001		Proteasome subunit alpha type		CNAG_04001		J9VJB8_CRYNH	ubiquitin-dependent protein catabolic process [GO:0006511]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]; ubiquitin-dependent protein catabolic process [GO:0006511]		GO:0005634; GO:0005737; GO:0006511; GO:0019773
J9VSR7	CNAG_04902		SEL1 protein		CNAG_04902		J9VSR7_CRYNH					
T2BNJ5	CNAG_06821		Ferric reductase transmembrane component 4, variant		CNAG_06821		T2BNJ5_CRYNH	ion transport [GO:0006811]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]; ion transport [GO:0006811]	oxidoreductase activity [GO:0016491]	GO:0006811; GO:0016021; GO:0016491
T2BPP1	CNAG_01642		DNA mismatch repair protein MSH3, variant		CNAG_01642		T2BPP1_CRYNH	mismatch repair [GO:0006298]		ATP binding [GO:0005524]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298]	ATP binding [GO:0005524]; mismatched DNA binding [GO:0030983]	GO:0005524; GO:0006298; GO:0030983
J9VKV5	CNAG_00174		Uncharacterized protein		CNAG_00174		J9VKV5_CRYNH					
J9VPY5	CNAG_03301		Mitochondrial import inner membrane translocase subunit		CNAG_03301		J9VPY5_CRYNH	chaperone-mediated protein transport [GO:0072321]	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; chaperone-mediated protein transport [GO:0072321]		GO:0005743; GO:0005758; GO:0072321
J9VHK4	CNAG_03024		AGC protein kinase		CNAG_03024		J9VHK4_CRYNH	phosphorelay signal transduction system [GO:0000160]		ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; phosphorelay signal transduction system [GO:0000160]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0000160; GO:0004674; GO:0005524
J9VKF3	CNAG_07434		HAD hydrolase, family IIID		CNAG_07434		J9VKF3_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]; phosphoprotein phosphatase activity [GO:0004721]	phosphoprotein phosphatase activity [GO:0004721]	GO:0004721; GO:0005634
J9VYY8	CNAG_01670		Uncharacterized protein		CNAG_01670		J9VYY8_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VWD3	CNAG_01526		Cleavage and polyadenylation specificity factor subunit 4		CNAG_01526		J9VWD3_CRYNH			metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0046872
J9VVC5	CNAG_06160		Guanyl nucleotide exchange factor Sql2		CNAG_06160		J9VVC5_CRYNH	small GTPase mediated signal transduction [GO:0007264]		guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	guanyl-nucleotide exchange factor activity [GO:0005085]	GO:0005085; GO:0007264
J9VK15	CNAG_05316		Inositol oxygenase (EC 1.13.99.1) (Myo-inositol oxygenase)		CNAG_05316		J9VK15_CRYNH	inositol catabolic process [GO:0019310]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; inositol oxygenase activity [GO:0050113]; iron ion binding [GO:0005506]; inositol catabolic process [GO:0019310]	inositol oxygenase activity [GO:0050113]; iron ion binding [GO:0005506]	GO:0005506; GO:0005737; GO:0019310; GO:0050113
J9VKP6	CNAG_01324		Uncharacterized protein		CNAG_01324		J9VKP6_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VUA4	CNAG_04239		TPX2 domain-containing protein		CNAG_04239		J9VUA4_CRYNH		cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]		GO:0005737; GO:0005856
